x,y,z,g,wa,wr
78.0,93.0,44.0,75,6.0,90
79.0,93.0,46.0,80,6.0,90
78.0,94.0,48.0,84,7.0,90
78.0,94.0,49.0,88,8.0,90
76.0,94.0,51.0,90,8.0,90
75.0,96.0,51.0,91,12.0,90
66.0,116.0,52.0,87,25.0,90
61.0,125.0,52.0,79,39.0,90
57.0,125.0,53.0,70,52.0,90
50.0,125.0,54.0,63,63.0,90
44.0,128.0,56.0,59,71.0,90
41.0,131.0,58.0,57,77.0,90
41.0,132.0,60.0,58,82.0,90
45.0,131.0,62.0,61,84.0,90
51.0,130.0,63.0,65,84.0,90
54.0,128.0,65.0,72,81.0,90
55.0,125.0,68.0,82,77.0,90
55.0,123.0,70.0,93,72.0,90
54.0,123.0,73.0,102,68.0,90
56.0,123.0,75.0,109,66.0,90
58.0,123.0,75.0,111,65.0,90
58.0,123.0,76.0,111,64.0,90
60.0,123.0,76.0,111,63.0,90
62.0,123.0,77.0,109,62.0,90
62.0,122.0,77.0,106,61.0,90
60.0,122.0,77.0,102,60.0,90
60.0,121.0,77.0,99,59.0,90
60.0,121.0,77.0,97,59.0,90
59.0,120.0,76.0,95,59.0,90
58.0,120.0,76.0,93,59.0,90
59.0,119.0,76.0,91,58.0,90
61.0,119.0,76.0,88,57.0,90
60.0,118.0,76.0,85,57.0,90
58.0,117.0,75.0,83,56.0,90
56.0,117.0,75.0,81,56.0,90
56.0,116.0,75.0,78,56.0,90
55.0,116.0,74.0,71,55.0,90
55.0,116.0,74.0,66,55.0,90
55.0,116.0,73.0,61,54.0,90
56.0,116.0,73.0,58,53.0,90
55.0,116.0,73.0,56,53.0,90
56.0,116.0,72.0,54,53.0,90
56.0,116.0,72.0,53,52.0,90
60.0,116.0,72.0,55,52.0,90
63.0,116.0,72.0,60,53.0,90
62.0,117.0,72.0,68,54.0,90
62.0,118.0,73.0,78,55.0,90
65.0,118.0,73.0,86,56.0,90
65.0,118.0,73.0,92,56.0,90
63.0,118.0,74.0,97,57.0,90
60.0,118.0,74.0,104,57.0,90
58.0,118.0,74.0,113,59.0,90
57.0,119.0,74.0,126,61.0,90
59.0,119.0,75.0,135,63.0,90
61.0,120.0,75.0,139,63.0,90
63.0,120.0,75.0,141,63.0,90
65.0,119.0,75.0,143,64.0,90
64.0,119.0,76.0,146,64.0,90
66.0,119.0,76.0,148,65.0,90
66.0,119.0,76.0,147,64.0,90
73.0,118.0,76.0,139,61.0,90
75.0,117.0,76.0,129,56.0,90
78.0,116.0,76.0,117,51.0,90
75.0,116.0,76.0,108,47.0,90
72.0,115.0,76.0,103,44.0,90
66.0,115.0,76.0,101,38.0,90
56.0,115.0,76.0,101,29.0,90
49.0,115.0,77.0,103,20.0,90
47.0,116.0,77.0,104,11.0,90
47.0,118.0,78.0,105,5.0,90
50.0,119.0,78.0,107,-1.0,90
56.0,119.0,79.0,107,-6.0,90
58.0,119.0,79.0,107,-10.0,90
59.0,119.0,80.0,106,-13.0,90
59.0,119.0,80.0,106,-14.0,90
59.0,119.0,80.0,105,-14.0,90
59.0,118.0,80.0,104,-12.0,90
59.0,117.0,80.0,104,-10.0,90
58.0,112.0,81.0,104,-8.0,90
56.0,103.0,83.0,104,-7.0,90
54.0,95.0,85.0,105,-6.0,90
52.0,91.0,86.0,105,-5.0,90
51.0,87.0,88.0,106,-4.0,90
50.0,85.0,90.0,107,-3.0,90
50.0,84.0,91.0,108,-2.0,90
49.0,84.0,92.0,108,-1.0,90
49.0,84.0,92.0,108,-1.0,90
47.0,83.0,93.0,108,-1.0,90
48.0,84.0,93.0,106,-2.0,90
51.0,86.0,92.0,101,-3.0,90
52.0,89.0,92.0,95,-4.0,90
51.0,90.0,91.0,90,-4.0,90
51.0,90.0,90.0,85,-5.0,90
50.0,90.0,89.0,81,-5.0,90
50.0,90.0,88.0,78,-6.0,90
49.0,89.0,87.0,75,-6.0,90
48.0,89.0,86.0,72,-6.0,90
49.0,89.0,86.0,70,-6.0,90
51.0,89.0,86.0,69,-6.0,90
54.0,91.0,85.0,69,-5.0,90
57.0,97.0,84.0,69,-5.0,90
58.0,103.0,82.0,69,-4.0,90
58.0,105.0,81.0,69,-3.0,90
58.0,105.0,80.0,69,-3.0,90
58.0,105.0,79.0,70,-3.0,90
58.0,106.0,79.0,70,-3.0,90
57.0,106.0,79.0,70,-2.0,90
56.0,106.0,78.0,71,-2.0,90
55.0,106.0,78.0,74,-1.0,90
56.0,106.0,79.0,76,-1.0,90
56.0,106.0,79.0,78,0.0,90
55.0,106.0,79.0,79,0.0,90
55.0,105.0,79.0,80,0.0,90
55.0,105.0,79.0,79,0.0,90
55.0,105.0,79.0,79,-1.0,90
56.0,105.0,79.0,79,-1.0,90
57.0,104.0,79.0,79,-1.0,90
56.0,104.0,79.0,79,-1.0,90
56.0,104.0,79.0,78,-1.0,90
56.0,104.0,79.0,78,-1.0,90
56.0,104.0,79.0,78,-1.0,90
57.0,104.0,79.0,78,-1.0,90
57.0,104.0,79.0,78,-1.0,90
56.0,103.0,79.0,78,-1.0,90
56.0,103.0,79.0,77,-1.0,90
56.0,103.0,79.0,78,-1.0,90
56.0,103.0,79.0,78,-1.0,90
56.0,103.0,79.0,78,-1.0,90
56.0,102.0,79.0,78,0.0,90
56.0,102.0,79.0,78,0.0,90
56.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
